Year,Schweiz,Global,Risiko,Nachhaltigkeit,Klima,Diversity,Steuern,Bankgeheimnis,USA,Finanzkrise,(US-)Wohnungsmarkt,Rezession,Inflation,Negativzins,Kunde,Talent,Aktionär,Dividende,Reputation,Verantwortung,Kultur,Whistleblower,Rechtsfälle,Libor,Verboten,Negativ,Positiv,Zuflüsse,Abflüsse,Verlust,Gewinn,Digitalisierung,Investmentbank,Vermögensverwaltung,Wachstum,DRCM,Nachrichtenlose Vermögen,Weltkrieg,Finma / EBK,Regulator / Aufseher,Demut,Stolz,Bescheidenheit,Liquidität,Basel,Zürich,London,New York,Ruhen,Total_Length
1999,0.0076067875950848445,0.008191925102399064,0.00248683440608543,0.0005851375073142189,0.0,0.0004388531304856641,0.0027794031597425397,0.0,0.0023405500292568754,0.0,0.0,0.0,0.0,0.0,0.009801053247513165,0.0,0.0023405500292568754,0.0004388531304856641,0.0002925687536571094,0.0016091281451141018,0.0005851375073142189,0.0,0.0,0.0,0.0,0.0007314218841427735,0.0019016968987712111,0.0001462843768285547,0.0,0.0005851375073142189,0.003071971913399649,0.001023990637799883,0.0027794031597425397,0.0017554125219426564,0.0017554125219426564,0.0,0.0001462843768285547,0.0001462843768285547,0.0,0.0,0.0,0.0001462843768285547,0.0,0.0001462843768285547,0.0007314218841427735,0.0008777062609713282,0.001462843768285547,0.0013165593914569924,0.0,6836
2000,0.009270898805782527,0.005342551854179761,0.0026712759270898804,0.0004714016341923319,0.0,0.001257071024512885,0.0026712759270898804,0.0,0.00487115021998743,0.0,0.00015713387806411063,0.0,0.0,0.0,0.011627906976744186,0.0006285355122564425,0.0028284098051539913,0.00031426775612822125,0.00015713387806411063,0.00031426775612822125,0.0007856693903205531,0.0,0.0,0.0,0.0,0.0007856693903205531,0.0010999371464487744,0.00015713387806411063,0.00015713387806411063,0.0006285355122564425,0.001257071024512885,0.0010999371464487744,0.0021998742928975488,0.0018856065367693275,0.00251414204902577,0.00031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0004714016341923319,0.0,0.0,0.0006285355122564425,0.00031426775612822125,0.0004714016341923319,0.0004714016341923319,0.0,6364
2001,0.006513409961685823,0.003703703703703704,0.002937420178799489,0.0003831417624521073,0.0,0.0015325670498084292,0.0020434227330779057,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.010472541507024266,0.0006385696040868455,0.0020434227330779057,0.0006385696040868455,0.0010217113665389529,0.0015325670498084292,0.002554278416347382,0.0,0.0,0.0,0.0,0.0010217113665389529,0.0008939974457215837,0.0,0.0,0.0002554278416347382,0.0010217113665389529,0.0026819923371647508,0.0011494252873563218,0.0022988505747126436,0.0006385696040868455,0.0,0.0001277139208173691,0.0,0.0,0.0001277139208173691,0.0,0.0,0.0001277139208173691,0.0,0.0007662835249042146,0.0015325670498084292,0.0006385696040868455,0.00140485312899106,0.0,7830
2002,0.0051144010767160165,0.006191117092866756,0.0036339165545087484,0.0008075370121130552,0.0,0.0010767160161507402,0.003230148048452221,0.0,0.0051144010767160165,0.0,0.0,0.0,0.0,0.0,0.010363391655450875,0.0006729475100942127,0.0018842530282637954,0.0005383580080753701,0.0009421265141318977,0.0013458950201884253,0.0009421265141318977,0.0,0.00013458950201884252,0.0,0.0,0.0016150740242261105,0.0009421265141318977,0.00013458950201884252,0.0,0.0008075370121130552,0.0014804845222072679,0.0026917900403768506,0.0017496635262449528,0.0026917900403768506,0.0004037685060565276,0.0,0.0,0.0,0.0,0.00026917900403768504,0.0,0.00013458950201884252,0.0,0.0,0.0008075370121130552,0.0012113055181695827,0.0008075370121130552,0.0017496635262449528,0.0,7430
2003,0.005806887238352465,0.004051316677920324,0.004321404456448345,0.0002700877785280216,0.0,0.0012153950033760973,0.0027008777852802163,0.0,0.007427413909520594,0.0,0.0005401755570560432,0.0,0.0,0.0,0.008102633355840648,0.0,0.0021607022282241727,0.0012153950033760973,0.002025658338960162,0.0005401755570560432,0.0005401755570560432,0.0,0.0,0.0,0.0,0.0006752194463200541,0.0009453072248480756,0.0001350438892640108,0.0004051316677920324,0.0008102633355840649,0.0012153950033760973,0.001485482781904119,0.00337609723160027,0.0054017555705604325,0.0005401755570560432,0.0,0.0,0.0,0.0,0.0005401755570560432,0.0,0.0001350438892640108,0.0,0.0,0.0005401755570560432,0.0009453072248480756,0.0010803511141120863,0.0018906144496961513,0.0,7405
2004,0.004754937820043892,0.0028041940990002436,0.0053645452328700315,0.000487685930260912,0.0,0.000975371860521824,0.0015849792733479639,0.0,0.0053645452328700315,0.0,0.0,0.0,0.0,0.0,0.0032918800292611556,0.0,0.002316508168739332,0.0010972933430870519,0.0013411363082175079,0.000731528895391368,0.0015849792733479639,0.0,0.000365764447695684,0.0,0.000121921482565228,0.000243842965130456,0.000853450377956596,0.0,0.0,0.0010972933430870519,0.001463057790782736,0.001463057790782736,0.001463057790782736,0.003413801511826384,0.001463057790782736,0.0,0.0,0.0,0.000121921482565228,0.000121921482565228,0.0,0.0,0.0,0.000121921482565228,0.000487685930260912,0.000975371860521824,0.00121921482565228,0.002072665203608876,0.0,8202
2005,0.0067706444202635715,0.0033853222101317857,0.002176278563656148,0.0014508523757707653,0.0,0.0007254261878853826,0.0020553741990085844,0.0,0.005803409503083061,0.0,0.0,0.0,0.0,0.0,0.01184862773546125,0.0,0.0030226091161890943,0.0003627130939426913,0.001088139281828074,0.0008463305525329464,0.0003627130939426913,0.0,0.0003627130939426913,0.0,0.0,0.0003627130939426913,0.0009672349171805102,0.0,0.0,0.00012090436464756378,0.0012090436464756377,0.0013299480111232016,0.0025389916575988395,0.0035062265747793494,0.0004836174585902551,0.0004836174585902551,0.0,0.0,0.0,0.0,0.0,0.00012090436464756378,0.00012090436464756378,0.00024180872929512756,0.0012090436464756377,0.002176278563656148,0.002176278563656148,0.0025389916575988395,0.0,8271
2006,0.005259282633848743,0.006205953507941517,0.0025244556642473968,0.0006311139160618492,0.0,0.0010518565267697486,0.001472599137477648,0.0,0.0041022404544020195,0.0,0.0,0.0,0.0,0.0,0.003997054801725045,0.00021037130535394972,0.002840012622278321,0.0,0.00021037130535394972,0.0012622278321236984,0.0005259282633848743,0.0,0.00010518565267697486,0.0,0.0,0.0008414852214157989,0.0010518565267697486,0.0005259282633848743,0.0,0.00021037130535394972,0.000736299568738824,0.0011570421794467234,0.001577784790154623,0.002840012622278321,0.0017881560955085726,0.0008414852214157989,0.0,0.0,0.0,0.0005259282633848743,0.0,0.00010518565267697486,0.0,0.0,0.0008414852214157989,0.0008414852214157989,0.0013674134848006732,0.0027348269696013464,0.0,9507
2007,0.005456529647144416,0.008002910149145144,0.00327391778828665,0.0025463805020007274,0.0010913059294288831,0.0003637686431429611,0.0021826118588577663,0.0,0.005456529647144416,0.0,0.0036376864314296106,0.0,0.0,0.0,0.006911604219716261,0.0,0.0021826118588577663,0.0,0.0003637686431429611,0.0029101491451436886,0.0,0.0,0.0,0.0,0.0,0.0018188432157148053,0.0007275372862859222,0.0003637686431429611,0.0003637686431429611,0.0018188432157148053,0.0,0.0018188432157148053,0.007275372862859221,0.007639141506002182,0.0018188432157148053,0.00327391778828665,0.0,0.0,0.0,0.0,0.0,0.0003637686431429611,0.0,0.0003637686431429611,0.0,0.0010913059294288831,0.0003637686431429611,0.0021826118588577663,0.0,2749
2008,0.00333555703802535,0.005003335557038025,0.008338892595063376,0.00133422281521014,0.0,0.0,0.00133422281521014,0.0,0.005670446964643095,0.000333555703802535,0.000333555703802535,0.0,0.0,0.0,0.005003335557038025,0.0,0.00266844563042028,0.0,0.00066711140760507,0.001667778519012675,0.000333555703802535,0.0,0.0,0.0,0.0,0.0023348899266177454,0.00066711140760507,0.0,0.00066711140760507,0.00133422281521014,0.00066711140760507,0.001667778519012675,0.007004669779853236,0.01200800533689126,0.00133422281521014,0.00066711140760507,0.0,0.0,0.000333555703802535,0.0,0.0,0.0,0.0,0.0,0.000333555703802535,0.0010006671114076052,0.000333555703802535,0.0020013342228152103,0.0,2998
